shipmode,sales,quantity,discount_pct,profit,segment,region,state,subcategory,category,orderdate_day,orderdate_weekday,orderdate_month,orderdate_year,shipdate_day,shipdate_weekday,shipdate_month,shipdate_year,preparationtime,order_date,ship_date,profit_pct
Standard Class,318.96,9,0.0,149.9112,Consumer,East,New York,Paper                                             ,Office Supplies,6,Sunday,11,2016,10,Thursday,11,2016,4,2016-11-06,2016-11-10,47.0
Standard Class,56.704,2,20.0,19.1376,Corporate,Central,Texas,Paper                                             ,Office Supplies,6,Wednesday,8,2014,10,Sunday,8,2014,4,2014-08-06,2014-08-10,33.75
Standard Class,19.44,3,0.0,9.3312,Corporate,West,California,Paper                                             ,Office Supplies,6,Saturday,4,2013,12,Friday,4,2013,6,2013-04-06,2013-04-12,48.00000000000001
Standard Class,31.104,6,20.0,10.8864,Home Office,East,Pennsylvania,Paper                                             ,Office Supplies,25,Wednesday,6,2014,1,Tuesday,7,2014,6,2014-06-25,2014-07-01,35.0
Second Class,41.472,8,20.0,14.5152,Corporate,South,Florida,Paper                                             ,Office Supplies,18,Friday,11,2016,23,Wednesday,11,2016,5,2016-11-18,2016-11-23,35.0
Standard Class,12.96,2,0.0,6.2208,Corporate,West,California,Paper                                             ,Office Supplies,21,Thursday,11,2013,26,Tuesday,11,2013,5,2013-11-21,2013-11-26,47.99999999999999
Standard Class,12.96,2,0.0,6.3504,Corporate,South,Virginia,Paper                                             ,Office Supplies,7,Friday,2,2014,11,Tuesday,2,2014,4,2014-02-07,2014-02-11,48.99999999999999
Second Class,25.92,5,20.0,9.396,Consumer,Central,Illinois,Paper                                             ,Office Supplies,5,Friday,6,2015,10,Wednesday,6,2015,5,2015-06-05,2015-06-10,36.25
Second Class,12.96,2,0.0,6.3504,Corporate,South,Virginia,Paper                                             ,Office Supplies,5,Friday,4,2013,9,Tuesday,4,2013,4,2013-04-05,2013-04-09,48.99999999999999
Standard Class,15.552,3,20.0,5.6376,Consumer,South,Florida,Paper                                             ,Office Supplies,2,Wednesday,7,2014,9,Wednesday,7,2014,7,2014-07-02,2014-07-09,36.25
Standard Class,15.552,3,20.0,5.6376,Corporate,Central,Texas,Paper                                             ,Office Supplies,12,Wednesday,11,2014,18,Tuesday,11,2014,6,2014-11-12,2014-11-18,36.25
Standard Class,12.96,2,0.0,6.3504,Corporate,South,Mississippi,Paper                                             ,Office Supplies,17,Sunday,3,2013,21,Thursday,3,2013,4,2013-03-17,2013-03-21,48.99999999999999
Standard Class,19.44,3,0.0,9.3312,Consumer,East,New York,Paper                                             ,Office Supplies,8,Thursday,5,2014,15,Thursday,5,2014,7,2014-05-08,2014-05-15,48.00000000000001
Standard Class,45.36,7,0.0,21.7728,Corporate,West,California,Paper                                             ,Office Supplies,9,Wednesday,12,2015,15,Tuesday,12,2015,6,2015-12-09,2015-12-15,48.0
Standard Class,32.4,5,0.0,15.552,Corporate,South,Alabama,Paper                                             ,Office Supplies,13,Friday,6,2014,19,Thursday,6,2014,6,2014-06-13,2014-06-19,48.0
Standard Class,12.96,2,0.0,6.2208,Home Office,West,California,Paper                                             ,Office Supplies,20,Wednesday,2,2013,24,Sunday,2,2013,4,2013-02-20,2013-02-24,47.99999999999999
First Class,733.95,7,0.0,352.296,Corporate,West,California,Paper                                             ,Office Supplies,17,Sunday,11,2013,19,Tuesday,11,2013,2,2013-11-17,2013-11-19,48.0
Standard Class,335.52,4,20.0,117.432,Consumer,Central,Texas,Paper                                             ,Office Supplies,28,Friday,11,2014,2,Tuesday,12,2014,4,2014-11-28,2014-12-02,35.0
Same Day,83.88,1,20.0,29.358,Corporate,West,Arizona,Paper                                             ,Office Supplies,21,Sunday,8,2016,21,Sunday,8,2016,0,2016-08-21,2016-08-21,35.0
First Class,251.64,3,20.0,88.074,Consumer,South,Florida,Paper                                             ,Office Supplies,23,Friday,9,2016,26,Monday,9,2016,3,2016-09-23,2016-09-26,35.0
Standard Class,335.52,4,20.0,117.432,Consumer,East,Pennsylvania,Paper                                             ,Office Supplies,28,Friday,6,2013,2,Tuesday,7,2013,4,2013-06-28,2013-07-02,35.0
Second Class,8.904,3,20.0,3.339,Consumer,South,Tennessee,Paper                                             ,Office Supplies,13,Sunday,11,2016,16,Wednesday,11,2016,3,2016-11-13,2016-11-16,37.5
Standard Class,7.42,2,0.0,3.71,Consumer,West,California,Paper                                             ,Office Supplies,30,Sunday,10,2016,5,Saturday,11,2016,6,2016-10-30,2016-11-05,50.0
Standard Class,8.904,3,20.0,3.339,Corporate,Central,Illinois,Paper                                             ,Office Supplies,3,Saturday,9,2016,7,Wednesday,9,2016,4,2016-09-03,2016-09-07,37.5
Standard Class,25.92,4,0.0,12.4416,Home Office,Central,Indiana,Paper                                             ,Office Supplies,1,Friday,7,2016,8,Friday,7,2016,7,2016-07-01,2016-07-08,47.99999999999999
First Class,32.4,5,0.0,15.552,Home Office,East,New York,Paper                                             ,Office Supplies,8,Monday,6,2015,11,Thursday,6,2015,3,2015-06-08,2015-06-11,48.0
Standard Class,32.4,5,0.0,15.552,Consumer,West,California,Paper                                             ,Office Supplies,11,Thursday,6,2015,16,Tuesday,6,2015,5,2015-06-11,2015-06-16,48.0
Same Day,58.32,9,0.0,27.9936,Home Office,South,Georgia,Paper                                             ,Office Supplies,7,Sunday,4,2013,7,Sunday,4,2013,0,2013-04-07,2013-04-07,48.0
Standard Class,58.32,9,0.0,27.9936,Consumer,West,California,Paper                                             ,Office Supplies,31,Sunday,8,2014,5,Friday,9,2014,5,2014-08-31,2014-09-05,48.0
Same Day,20.736,4,20.0,7.2576,Home Office,East,Ohio,Paper                                             ,Office Supplies,18,Thursday,12,2014,18,Thursday,12,2014,0,2014-12-18,2014-12-18,35.0
Standard Class,12.96,2,0.0,6.2208,Consumer,West,Utah,Paper                                             ,Office Supplies,8,Wednesday,7,2015,14,Tuesday,7,2015,6,2015-07-08,2015-07-14,47.99999999999999
Second Class,12.96,2,0.0,6.2208,Home Office,West,California,Paper                                             ,Office Supplies,27,Saturday,9,2014,29,Monday,9,2014,2,2014-09-27,2014-09-29,47.99999999999999
Standard Class,25.92,4,0.0,12.4416,Home Office,East,New York,Paper                                             ,Office Supplies,11,Thursday,8,2016,16,Tuesday,8,2016,5,2016-08-11,2016-08-16,47.99999999999999
Second Class,38.88,6,0.0,18.6624,Consumer,East,Delaware,Paper                                             ,Office Supplies,23,Sunday,11,2014,25,Tuesday,11,2014,2,2014-11-23,2014-11-25,48.00000000000001
Standard Class,15.552,3,20.0,5.4432,Home Office,West,Colorado,Paper                                             ,Office Supplies,25,Saturday,4,2015,29,Wednesday,4,2015,4,2015-04-25,2015-04-29,35.0
Second Class,94.85,5,0.0,45.528,Consumer,West,California,Paper                                             ,Office Supplies,9,Saturday,11,2013,11,Monday,11,2013,2,2013-11-09,2013-11-11,48.00000000000001
Standard Class,37.94,2,0.0,18.2112,Consumer,East,New York,Paper                                             ,Office Supplies,17,Wednesday,2,2016,21,Sunday,2,2016,4,2016-02-17,2016-02-21,48.00000000000001
First Class,30.352,2,20.0,10.6232,Consumer,East,Ohio,Paper                                             ,Office Supplies,7,Saturday,2,2015,9,Monday,2,2015,2,2015-02-07,2015-02-09,35.0
First Class,37.94,2,0.0,18.2112,Home Office,East,New York,Paper                                             ,Office Supplies,8,Thursday,5,2014,10,Saturday,5,2014,2,2014-05-08,2014-05-10,48.00000000000001
First Class,15.552,3,20.0,5.4432,Consumer,East,Pennsylvania,Paper                                             ,Office Supplies,13,Friday,9,2013,16,Monday,9,2013,3,2013-09-13,2013-09-16,35.0
Standard Class,10.368,2,20.0,3.6288,Home Office,Central,Texas,Paper                                             ,Office Supplies,25,Thursday,4,2013,29,Monday,4,2013,4,2013-04-25,2013-04-29,35.0
Standard Class,82.656,9,20.0,30.996,Corporate,Central,Texas,Paper                                             ,Office Supplies,22,Friday,5,2015,27,Wednesday,5,2015,5,2015-05-22,2015-05-27,37.49999999999999
First Class,34.44,3,0.0,17.22,Consumer,East,New Hampshire,Paper                                             ,Office Supplies,19,Sunday,10,2014,20,Monday,10,2014,1,2014-10-19,2014-10-20,50.0
Second Class,34.44,3,0.0,17.22,Home Office,East,New York,Paper                                             ,Office Supplies,17,Sunday,11,2013,22,Friday,11,2013,5,2013-11-17,2013-11-22,50.0
Second Class,123.92,4,0.0,55.764,Home Office,West,California,Paper                                             ,Office Supplies,11,Monday,11,2013,13,Wednesday,11,2013,2,2013-11-11,2013-11-13,45.0
First Class,154.9,5,0.0,69.705,Consumer,West,California,Paper                                             ,Office Supplies,27,Thursday,8,2015,28,Friday,8,2015,1,2015-08-27,2015-08-28,44.99999999999999
Standard Class,49.568,2,20.0,15.49,Home Office,East,Pennsylvania,Paper                                             ,Office Supplies,21,Thursday,8,2014,25,Monday,8,2014,4,2014-08-21,2014-08-25,31.25
Second Class,79.14,3,0.0,36.4044,Corporate,West,Nevada,Paper                                             ,Office Supplies,9,Sunday,6,2013,13,Thursday,6,2013,4,2013-06-09,2013-06-13,46.0
Standard Class,42.208,2,20.0,13.7176,Consumer,South,Tennessee,Paper                                             ,Office Supplies,6,Friday,12,2013,11,Wednesday,12,2013,5,2013-12-06,2013-12-11,32.5
First Class,79.14,3,0.0,36.4044,Consumer,South,Kentucky,Paper                                             ,Office Supplies,6,Wednesday,5,2015,8,Friday,5,2015,2,2015-05-06,2015-05-08,46.0
Standard Class,211.04,8,0.0,97.0784,Consumer,West,California,Paper                                             ,Office Supplies,23,Friday,9,2016,29,Thursday,9,2016,6,2016-09-23,2016-09-29,46.0
Standard Class,158.28,6,0.0,72.8088,Corporate,Central,Indiana,Paper                                             ,Office Supplies,27,Sunday,11,2016,2,Friday,12,2016,5,2016-11-27,2016-12-02,46.0
Second Class,126.624,6,20.0,41.1528,Corporate,East,Pennsylvania,Paper                                             ,Office Supplies,17,Sunday,3,2013,20,Wednesday,3,2013,3,2013-03-17,2013-03-20,32.5
Standard Class,63.312,3,20.0,20.5764,Corporate,Central,Illinois,Paper                                             ,Office Supplies,23,Saturday,7,2016,27,Wednesday,7,2016,4,2016-07-23,2016-07-27,32.5
Standard Class,105.52,5,20.0,34.294,Corporate,West,Oregon,Paper                                             ,Office Supplies,16,Thursday,7,2015,21,Tuesday,7,2015,5,2015-07-16,2015-07-21,32.49999999999999
Standard Class,105.52,4,0.0,48.5392,Consumer,South,Virginia,Paper                                             ,Office Supplies,7,Saturday,12,2013,13,Friday,12,2013,6,2013-12-07,2013-12-13,46.0
First Class,26.72,4,0.0,12.8256,Corporate,West,California,Paper                                             ,Office Supplies,28,Monday,3,2016,31,Thursday,3,2016,3,2016-03-28,2016-03-31,48.0
Standard Class,5.344,1,20.0,1.8704,Consumer,East,Pennsylvania,Paper                                             ,Office Supplies,16,Wednesday,9,2015,20,Sunday,9,2015,4,2015-09-16,2015-09-20,35.0
Standard Class,26.72,5,20.0,9.352,Consumer,South,Florida,Paper                                             ,Office Supplies,12,Saturday,11,2016,17,Thursday,11,2016,5,2016-11-12,2016-11-17,35.0
First Class,46.76,7,0.0,22.4448,Consumer,East,New York,Paper                                             ,Office Supplies,20,Sunday,11,2016,22,Tuesday,11,2016,2,2016-11-20,2016-11-22,48.00000000000001
First Class,60.12,9,0.0,28.8576,Consumer,West,California,Paper                                             ,Office Supplies,8,Thursday,12,2016,9,Friday,12,2016,1,2016-12-08,2016-12-09,48.00000000000001
Second Class,105.52,4,0.0,48.5392,Corporate,East,Massachusetts,Paper                                             ,Office Supplies,7,Sunday,6,2015,10,Wednesday,6,2015,3,2015-06-07,2015-06-10,46.0
Second Class,184.66,7,0.0,84.9436,Home Office,East,New Hampshire,Paper                                             ,Office Supplies,3,Wednesday,12,2014,5,Friday,12,2014,2,2014-12-03,2014-12-05,46.0
Second Class,63.312,3,20.0,20.5764,Home Office,East,Ohio,Paper                                             ,Office Supplies,11,Sunday,1,2015,13,Tuesday,1,2015,2,2015-01-11,2015-01-13,32.5
Standard Class,184.66,7,0.0,84.9436,Home Office,South,Georgia,Paper                                             ,Office Supplies,11,Sunday,9,2016,15,Thursday,9,2016,4,2016-09-11,2016-09-15,46.0
Second Class,20.544,6,20.0,6.42,Consumer,Central,Illinois,Paper                                             ,Office Supplies,11,Sunday,9,2016,13,Tuesday,9,2016,2,2016-09-11,2016-09-13,31.25
First Class,4.28,1,0.0,1.926,Home Office,West,California,Paper                                             ,Office Supplies,21,Thursday,8,2014,23,Saturday,8,2014,2,2014-08-21,2014-08-23,44.99999999999999
Standard Class,6.848,2,20.0,2.14,Home Office,Central,Texas,Paper                                             ,Office Supplies,11,Wednesday,5,2016,17,Tuesday,5,2016,6,2016-05-11,2016-05-17,31.25
Standard Class,12.84,3,0.0,5.778,Consumer,West,California,Paper                                             ,Office Supplies,27,Friday,12,2013,2,Thursday,1,2014,6,2013-12-27,2014-01-02,44.99999999999999
Second Class,20.544,6,20.0,6.42,Consumer,East,Pennsylvania,Paper                                             ,Office Supplies,16,Friday,9,2016,18,Sunday,9,2016,2,2016-09-16,2016-09-18,31.25
First Class,67.8,10,0.0,31.188,Home Office,Central,Indiana,Paper                                             ,Office Supplies,5,Saturday,11,2016,7,Monday,11,2016,2,2016-11-05,2016-11-07,46.0
Standard Class,20.34,3,0.0,9.3564,Home Office,West,Washington,Paper                                             ,Office Supplies,26,Tuesday,4,2016,1,Sunday,5,2016,5,2016-04-26,2016-05-01,46.0
Second Class,16.272,3,20.0,5.2884,Consumer,South,North Carolina,Paper                                             ,Office Supplies,3,Thursday,11,2016,6,Sunday,11,2016,3,2016-11-03,2016-11-06,32.50000000000001
Standard Class,10.848,2,20.0,3.5256,Corporate,East,Ohio,Paper                                             ,Office Supplies,12,Saturday,11,2016,17,Thursday,11,2016,5,2016-11-12,2016-11-17,32.49999999999999
Standard Class,13.56,2,0.0,6.2376,Corporate,Central,Kansas,Paper                                             ,Office Supplies,13,Wednesday,7,2016,17,Sunday,7,2016,4,2016-07-13,2016-07-17,46.0
Standard Class,33.9,5,0.0,15.594,Consumer,West,Washington,Paper                                             ,Office Supplies,27,Sunday,12,2015,31,Thursday,12,2015,4,2015-12-27,2015-12-31,46.0
First Class,27.12,4,0.0,12.4752,Consumer,East,Connecticut,Paper                                             ,Office Supplies,13,Sunday,3,2016,15,Tuesday,3,2016,2,2016-03-13,2016-03-15,46.0
Second Class,21.696,4,20.0,7.0512,Consumer,East,Pennsylvania,Paper                                             ,Office Supplies,20,Wednesday,1,2016,25,Monday,1,2016,5,2016-01-20,2016-01-25,32.49999999999999
Second Class,33.9,5,0.0,15.594,Consumer,Central,Nebraska,Paper                                             ,Office Supplies,21,Monday,12,2015,24,Thursday,12,2015,3,2015-12-21,2015-12-24,46.0
Same Day,10.86,2,0.0,5.3214,Corporate,West,California,Paper                                             ,Office Supplies,2,Friday,12,2016,3,Saturday,12,2016,1,2016-12-02,2016-12-03,49.0
First Class,43.44,8,0.0,21.2856,Corporate,East,Rhode Island,Paper                                             ,Office Supplies,23,Sunday,10,2016,24,Monday,10,2016,1,2016-10-23,2016-10-24,49.0
Second Class,48.87,9,0.0,23.9463,Consumer,South,Georgia,Paper                                             ,Office Supplies,25,Friday,11,2016,29,Tuesday,11,2016,4,2016-11-25,2016-11-29,49.00000000000001
Standard Class,27.15,5,0.0,13.3035,Consumer,West,California,Paper                                             ,Office Supplies,8,Thursday,12,2016,12,Monday,12,2016,4,2016-12-08,2016-12-12,49.0
Standard Class,10.86,2,0.0,5.3214,Corporate,West,California,Paper                                             ,Office Supplies,18,Sunday,5,2014,22,Thursday,5,2014,4,2014-05-18,2014-05-22,49.0
Standard Class,21.72,5,20.0,7.8735,Consumer,Central,Texas,Paper                                             ,Office Supplies,11,Monday,11,2013,15,Friday,11,2013,4,2013-11-11,2013-11-15,36.25
Standard Class,21.72,4,0.0,10.6428,Consumer,West,California,Paper                                             ,Office Supplies,20,Friday,9,2013,26,Thursday,9,2013,6,2013-09-20,2013-09-26,49.0
Standard Class,36.288,7,20.0,12.7008,Corporate,Central,Texas,Paper                                             ,Office Supplies,1,Monday,8,2016,7,Sunday,8,2016,6,2016-08-01,2016-08-07,35.0
First Class,10.368,2,20.0,3.6288,Consumer,Central,Texas,Paper                                             ,Office Supplies,3,Saturday,12,2016,6,Tuesday,12,2016,3,2016-12-03,2016-12-06,35.0
Standard Class,11.56,2,0.0,5.6644,Corporate,East,New York,Paper                                             ,Office Supplies,23,Sunday,10,2016,29,Saturday,10,2016,6,2016-10-23,2016-10-29,48.99999999999999
Standard Class,54.816,3,20.0,17.8152,Corporate,East,Pennsylvania,Paper                                             ,Office Supplies,31,Sunday,7,2016,5,Friday,8,2016,5,2016-07-31,2016-08-05,32.5
Standard Class,68.52,3,0.0,31.5192,Corporate,Central,Michigan,Paper                                             ,Office Supplies,13,Sunday,9,2015,19,Saturday,9,2015,6,2015-09-13,2015-09-19,46.0
Standard Class,182.72,8,0.0,84.0512,Corporate,West,California,Paper                                             ,Office Supplies,26,Sunday,1,2014,1,Saturday,2,2014,6,2014-01-26,2014-02-01,46.0
Standard Class,182.72,8,0.0,84.0512,Consumer,West,California,Paper                                             ,Office Supplies,29,Friday,5,2015,4,Thursday,6,2015,6,2015-05-29,2015-06-04,46.0
Second Class,18.272,1,20.0,5.9384,Home Office,South,North Carolina,Paper                                             ,Office Supplies,26,Monday,5,2014,29,Thursday,5,2014,3,2014-05-26,2014-05-29,32.5
Standard Class,68.52,3,0.0,31.5192,Corporate,East,New York,Paper                                             ,Office Supplies,26,Sunday,6,2016,30,Thursday,6,2016,4,2016-06-26,2016-06-30,46.0
Same Day,51.84,8,0.0,24.8832,Consumer,East,Connecticut,Paper                                             ,Office Supplies,22,Wednesday,4,2015,22,Wednesday,4,2015,0,2015-04-22,2015-04-22,47.99999999999999
First Class,19.44,3,0.0,9.3312,Home Office,East,New York,Paper                                             ,Office Supplies,2,Wednesday,7,2014,3,Thursday,7,2014,1,2014-07-02,2014-07-03,48.00000000000001
First Class,45.36,7,0.0,21.7728,Corporate,East,Rhode Island,Paper                                             ,Office Supplies,12,Monday,9,2016,15,Thursday,9,2016,3,2016-09-12,2016-09-15,48.0
Standard Class,19.44,3,0.0,9.3312,Corporate,South,Louisiana,Paper                                             ,Office Supplies,4,Thursday,4,2013,8,Monday,4,2013,4,2013-04-04,2013-04-08,48.00000000000001
Standard Class,51.84,8,0.0,24.8832,Consumer,West,Washington,Paper                                             ,Office Supplies,21,Monday,11,2016,25,Friday,11,2016,4,2016-11-21,2016-11-25,47.99999999999999
Second Class,123.92,4,0.0,55.764,Consumer,East,New York,Paper                                             ,Office Supplies,8,Tuesday,10,2013,13,Sunday,10,2013,5,2013-10-08,2013-10-13,45.0
Second Class,154.9,5,0.0,69.705,Home Office,East,Massachusetts,Paper                                             ,Office Supplies,27,Thursday,11,2014,29,Saturday,11,2014,2,2014-11-27,2014-11-29,44.99999999999999
Standard Class,223.056,9,20.0,69.705,Consumer,Central,Texas,Paper                                             ,Office Supplies,12,Saturday,11,2016,18,Friday,11,2016,6,2016-11-12,2016-11-18,31.25
Standard Class,5.78,1,0.0,2.8322,Corporate,South,Kentucky,Paper                                             ,Office Supplies,6,Sunday,11,2016,10,Thursday,11,2016,4,2016-11-06,2016-11-10,48.99999999999999
Standard Class,34.68,6,0.0,16.9932,Corporate,West,California,Paper                                             ,Office Supplies,9,Monday,12,2013,16,Monday,12,2013,7,2013-12-09,2013-12-16,49.00000000000001
Second Class,40.46,7,0.0,19.8254,Corporate,Central,Iowa,Paper                                             ,Office Supplies,22,Sunday,11,2015,26,Thursday,11,2015,4,2015-11-22,2015-11-26,48.99999999999999
Standard Class,11.56,2,0.0,5.6644,Consumer,East,New York,Paper                                             ,Office Supplies,14,Wednesday,9,2016,19,Monday,9,2016,5,2016-09-14,2016-09-19,48.99999999999999
Second Class,41.472,8,20.0,14.5152,Corporate,Central,Texas,Paper                                             ,Office Supplies,8,Sunday,5,2016,11,Wednesday,5,2016,3,2016-05-08,2016-05-11,35.0
Second Class,12.96,2,0.0,6.2208,Consumer,Central,Iowa,Paper                                             ,Office Supplies,30,Saturday,1,2016,1,Monday,2,2016,2,2016-01-30,2016-02-01,47.99999999999999
Standard Class,12.96,2,0.0,6.2208,Corporate,West,California,Paper                                             ,Office Supplies,22,Saturday,8,2015,29,Saturday,8,2015,7,2015-08-22,2015-08-29,47.99999999999999
Standard Class,19.44,3,0.0,9.3312,Corporate,East,New York,Paper                                             ,Office Supplies,8,Saturday,3,2014,13,Thursday,3,2014,5,2014-03-08,2014-03-13,48.00000000000001
Standard Class,20.736,4,20.0,7.2576,Consumer,East,Pennsylvania,Paper                                             ,Office Supplies,12,Thursday,6,2014,17,Tuesday,6,2014,5,2014-06-12,2014-06-17,35.0
Second Class,19.44,3,0.0,9.3312,Corporate,West,Washington,Paper                                             ,Office Supplies,27,Monday,6,2016,29,Wednesday,6,2016,2,2016-06-27,2016-06-29,48.00000000000001
Standard Class,25.92,4,0.0,12.4416,Corporate,South,Georgia,Paper                                             ,Office Supplies,18,Sunday,9,2016,22,Thursday,9,2016,4,2016-09-18,2016-09-22,47.99999999999999
Second Class,25.92,4,0.0,12.4416,Consumer,West,Nevada,Paper                                             ,Office Supplies,30,Sunday,11,2014,2,Tuesday,12,2014,2,2014-11-30,2014-12-02,47.99999999999999
Standard Class,32.75,5,0.0,15.065,Home Office,West,California,Paper                                             ,Office Supplies,6,Saturday,12,2014,11,Thursday,12,2014,5,2014-12-06,2014-12-11,46.0
First Class,19.65,3,0.0,9.039,Consumer,East,New York,Paper                                             ,Office Supplies,21,Friday,6,2013,24,Monday,6,2013,3,2013-06-21,2013-06-24,46.0
Second Class,26.2,4,0.0,12.052,Consumer,West,Washington,Paper                                             ,Office Supplies,27,Wednesday,7,2016,1,Monday,8,2016,5,2016-07-27,2016-08-01,46.0
Standard Class,19.65,3,0.0,9.039,Consumer,East,New York,Paper                                             ,Office Supplies,20,Thursday,11,2014,26,Wednesday,11,2014,6,2014-11-20,2014-11-26,46.0
Standard Class,20.96,4,20.0,6.812,Home Office,Central,Texas,Paper                                             ,Office Supplies,31,Sunday,8,2014,5,Friday,9,2014,5,2014-08-31,2014-09-05,32.5
Standard Class,146.73,3,0.0,68.9631,Consumer,West,California,Paper                                             ,Office Supplies,24,Monday,11,2014,30,Sunday,11,2014,6,2014-11-24,2014-11-30,47.0
Standard Class,97.82,2,0.0,45.9754,Corporate,East,New York,Paper                                             ,Office Supplies,19,Sunday,6,2016,23,Thursday,6,2016,4,2016-06-19,2016-06-23,47.0
Same Day,342.37,7,0.0,160.9139,Home Office,South,Georgia,Paper                                             ,Office Supplies,5,Thursday,2,2015,5,Thursday,2,2015,0,2015-02-05,2015-02-05,47.0
Standard Class,156.512,4,20.0,52.8228,Corporate,Central,Illinois,Paper                                             ,Office Supplies,30,Friday,1,2015,4,Wednesday,2,2015,5,2015-01-30,2015-02-04,33.75
Standard Class,21.4,5,0.0,9.63,Consumer,South,Georgia,Paper                                             ,Office Supplies,23,Saturday,8,2014,28,Thursday,8,2014,5,2014-08-23,2014-08-28,45.00000000000001
Same Day,10.272,3,20.0,3.21,Home Office,Central,Texas,Paper                                             ,Office Supplies,4,Saturday,4,2015,4,Saturday,4,2015,0,2015-04-04,2015-04-04,31.25
First Class,8.56,2,0.0,3.852,Corporate,West,California,Paper                                             ,Office Supplies,2,Friday,12,2016,5,Monday,12,2016,3,2016-12-02,2016-12-05,44.99999999999999
Second Class,30.816,9,20.0,9.63,Corporate,Central,Texas,Paper                                             ,Office Supplies,3,Thursday,12,2015,5,Saturday,12,2015,2,2015-12-03,2015-12-05,31.250000000000007
Standard Class,12.84,3,0.0,5.778,Consumer,West,California,Paper                                             ,Office Supplies,12,Monday,5,2014,16,Friday,5,2014,4,2014-05-12,2014-05-16,44.99999999999999
Standard Class,8.56,2,0.0,3.852,Corporate,West,California,Paper                                             ,Office Supplies,17,Wednesday,8,2016,24,Wednesday,8,2016,7,2016-08-17,2016-08-24,44.99999999999999
Standard Class,17.12,4,0.0,7.704,Corporate,East,New York,Paper                                             ,Office Supplies,2,Friday,9,2016,6,Tuesday,9,2016,4,2016-09-02,2016-09-06,44.99999999999999
Same Day,7.968,2,20.0,2.6892,Home Office,South,North Carolina,Paper                                             ,Office Supplies,12,Wednesday,10,2016,12,Wednesday,10,2016,0,2016-10-12,2016-10-12,33.75
Same Day,25.92,4,0.0,12.4416,Consumer,East,New York,Paper                                             ,Office Supplies,23,Friday,8,2013,23,Friday,8,2013,0,2013-08-23,2013-08-23,47.99999999999999
Second Class,19.44,3,0.0,9.3312,Consumer,South,Arkansas,Paper                                             ,Office Supplies,2,Saturday,5,2015,5,Tuesday,5,2015,3,2015-05-02,2015-05-05,48.00000000000001
Second Class,15.552,3,20.0,5.4432,Consumer,Central,Texas,Paper                                             ,Office Supplies,31,Saturday,1,2015,2,Monday,2,2015,2,2015-01-31,2015-02-02,35.0
Second Class,15.552,3,20.0,5.4432,Corporate,Central,Texas,Paper                                             ,Office Supplies,18,Friday,4,2014,22,Tuesday,4,2014,4,2014-04-18,2014-04-22,35.0
Standard Class,12.96,2,0.0,6.2208,Corporate,South,Louisiana,Paper                                             ,Office Supplies,13,Friday,3,2015,18,Wednesday,3,2015,5,2015-03-13,2015-03-18,47.99999999999999
First Class,5.184,1,20.0,1.8144,Corporate,West,Oregon,Paper                                             ,Office Supplies,21,Friday,10,2016,22,Saturday,10,2016,1,2016-10-21,2016-10-22,35.0
Standard Class,5.184,1,20.0,1.8144,Corporate,Central,Texas,Paper                                             ,Office Supplies,29,Wednesday,6,2016,4,Monday,7,2016,5,2016-06-29,2016-07-04,35.0
Same Day,12.96,2,0.0,6.2208,Corporate,West,California,Paper                                             ,Office Supplies,7,Sunday,12,2014,7,Sunday,12,2014,0,2014-12-07,2014-12-07,47.99999999999999
Standard Class,12.96,2,0.0,6.2208,Consumer,West,Washington,Paper                                             ,Office Supplies,22,Thursday,1,2015,27,Tuesday,1,2015,5,2015-01-22,2015-01-27,47.99999999999999
First Class,11.96,2,0.0,5.8604,Corporate,West,California,Paper                                             ,Office Supplies,20,Saturday,7,2013,23,Tuesday,7,2013,3,2013-07-20,2013-07-23,49.0
Standard Class,11.96,2,0.0,5.8604,Consumer,West,Washington,Paper                                             ,Office Supplies,11,Monday,5,2015,17,Sunday,5,2015,6,2015-05-11,2015-05-17,49.0
Second Class,17.94,3,0.0,8.7906,Consumer,South,Georgia,Paper                                             ,Office Supplies,28,Monday,9,2015,30,Wednesday,9,2015,2,2015-09-28,2015-09-30,48.99999999999999
First Class,14.352,3,20.0,5.2026,Corporate,South,Tennessee,Paper                                             ,Office Supplies,6,Wednesday,5,2015,9,Saturday,5,2015,3,2015-05-06,2015-05-09,36.25
First Class,22.704,6,20.0,8.2302,Consumer,East,Ohio,Paper                                             ,Office Supplies,24,Wednesday,12,2014,27,Saturday,12,2014,3,2014-12-24,2014-12-27,36.25
Same Day,11.352,3,20.0,4.1151,Consumer,East,Pennsylvania,Paper                                             ,Office Supplies,9,Sunday,11,2014,9,Sunday,11,2014,0,2014-11-09,2014-11-09,36.25
First Class,11.352,3,20.0,4.1151,Home Office,East,Pennsylvania,Paper                                             ,Office Supplies,21,Saturday,9,2013,24,Tuesday,9,2013,3,2013-09-21,2013-09-24,36.25
Standard Class,4.73,1,0.0,2.3177,Home Office,West,California,Paper                                             ,Office Supplies,8,Monday,6,2015,12,Friday,6,2015,4,2015-06-08,2015-06-12,48.99999999999999
Second Class,9.99,1,0.0,4.4955,Corporate,Central,Iowa,Paper                                             ,Office Supplies,27,Sunday,9,2015,2,Friday,10,2015,5,2015-09-27,2015-10-02,44.99999999999999
